user_id,interests,budget,travel_dates,travel_dates,mobility_needs,preferred_language,meal_choice
1,"Waterfalls, Temples, Nature",5000,2024-10-15 to 2024-10-20,2,No restrictions,Hindi,Vegetarian
2,"Wildlife, Adventure, Photography",8000,2024-11-01 to 2024-11-07,4,Mobility assistance,Hindi,Non-vegetarian
3,"Cultural festivals, Local markets, Food",3000,2024-12-20 to 2024-12-25,1,No restrictions,English,Vegetarian
4,"Trekking, Nature, Waterfalls",6000,2025-01-05 to 2025-01-10,3,No mobility issues,Hindi,Vegetarian
5,"Temples, Heritage sites, History",7000,2025-02-10 to 2025-02-15,2,No restrictions,Hindi,Non-vegetarian
6,"Adventure sports, Rock climbing, Paragliding",12000,2025-03-01 to 2025-03-05,1,No mobility issues,English,Vegetarian
7,"Wildlife safari, Bird watching, Nature",9000,2025-04-05 to 2025-04-10,4,Mobility assistance,Hindi,Non-vegetarian
8,"Cultural events, Dance performances, Music",4000,2025-05-12 to 2025-05-15,2,No restrictions,Hindi,Vegetarian
9,"Photography, Landscapes, Nature",6500,2025-06-18 to 2025-06-22,1,No mobility issues,English,Vegetarian
10,"Religious sites, Pilgrimage, Temples",3500,2025-07-25 to 2025-07-30,3,No restrictions,Hindi,Non-vegetarian
11,"Waterfalls, Nature walks, Scenic views",5500,2025-08-10 to 2025-08-15,2,Mobility assistance,Hindi,Vegetarian
12,"Adventure, Trekking, Camping",10000,2025-09-05 to 2025-09-10,4,No mobility issues,English,Non-vegetarian
13,"Cultural heritage, Museums, History",4500,2025-10-12 to 2025-10-18,2,No restrictions,Hindi,Vegetarian
14,"Wildlife, Nature, Photography",8500,2025-11-20 to 2025-11-25,3,Mobility assistance,Hindi,Non-vegetarian
15,"Food festivals, Local cuisine, Markets",3800,2025-12-22 to 2025-12-27,1,No mobility issues,Hindi,Vegetarian
16,"Trekking, Mountains, Nature",7200,2026-01-08 to 2026-01-13,2,No restrictions,English,Vegetarian
17,"Temples, Religious sites, Pilgrimage",4200,2026-02-14 to 2026-02-19,4,No mobility issues,Hindi,Non-vegetarian
18,"Adventure sports, Rock climbing, Hiking",11000,2026-03-10 to 2026-03-14,1,Mobility assistance,English,Vegetarian
19,"Bird watching, Nature, Wildlife",7800,2026-04-05 to 2026-04-10,3,No restrictions,Hindi,Non-vegetarian
